2024-12-20 at 16:08:43 | INFO | Найдено 0 записей.
2024-12-20 at 16:09:02 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 16:09:02 | INFO | Найдено 6 записей.
2024-12-20 at 16:09:36 | INFO | Поиск Category с ID: 2
2024-12-20 at 16:09:36 | INFO | Запись с ID 2 найдена.
2024-12-20 at 16:09:39 | INFO | Добавление записи Product с параметрами: {'name': 'Пример товара с файлом', 'description': 'Описание которое видят все', 'price': 312, 'category_id': 2, 'file_id': 'BQACAgIAAxkBAAP_Z2Vse0k7WCdhZJylNm5vkiiXpBkAAgtfAAIf-ylLupUhHAs9MNQ2BA', 'hidden_content': 'Спасибо за <b>покупку!</b>'}
2024-12-20 at 16:09:39 | INFO | Запись Product успешно добавлена.
2024-12-20 at 16:09:47 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 16:09:47 | INFO | Найдено 1 записей.
2024-12-20 at 16:10:14 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 16:10:14 | INFO | Найдено 6 записей.
2024-12-20 at 16:10:55 | INFO | Поиск Category с ID: 1
2024-12-20 at 16:10:55 | INFO | Запись с ID 1 найдена.
2024-12-20 at 16:11:00 | INFO | Добавление записи Product с параметрами: {'name': 'Товар без файла', 'description': 'тут я пишу короткое описание товара без файла', 'price': 333, 'category_id': 1, 'file_id': None, 'hidden_content': 'Вот ссыла за которую вы заплатили деньги. <a href="https://github.com/Yakvenalex">ССЫЛКА</a>'}
2024-12-20 at 16:11:00 | INFO | Запись Product успешно добавлена.
2024-12-20 at 16:17:51 | ERROR | Бот остановлен!
2024-12-20 at 16:18:01 | INFO | Бот успешно запущен.
2024-12-20 at 16:18:01 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:18:01 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:18:04 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 16:18:04 | INFO | Найдено 2 записей.
2024-12-20 at 16:18:06 | INFO | Поиск всех записей Product по фильтрам: {}
2024-12-20 at 16:18:06 | INFO | Найдено 2 записей.
2024-12-20 at 16:24:10 | ERROR | Бот остановлен!
2024-12-20 at 16:24:17 | INFO | Бот успешно запущен.
2024-12-20 at 16:24:20 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:24:21 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:24:55 | ERROR | Бот остановлен!
2024-12-20 at 16:25:03 | INFO | Бот успешно запущен.
2024-12-20 at 16:25:19 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:25:19 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:25:24 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 16:25:24 | INFO | Найдено 2 записей.
2024-12-20 at 16:25:28 | INFO | Поиск всех записей Product по фильтрам: {}
2024-12-20 at 16:25:28 | INFO | Найдено 2 записей.
2024-12-20 at 16:25:30 | INFO | Удаление записей Product по фильтру: {'id': 1}
2024-12-20 at 16:25:30 | INFO | Удалено 1 записей.
2024-12-20 at 16:25:38 | INFO | Удаление записей Product по фильтру: {'id': 2}
2024-12-20 at 16:25:38 | INFO | Удалено 1 записей.
2024-12-20 at 16:25:44 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:25:44 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 16:25:47 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 16:25:47 | INFO | Найдено 0 записей.
2024-12-20 at 16:25:52 | ERROR | Бот остановлен!
2024-12-20 at 20:43:29 | INFO | Бот успешно запущен.
2024-12-20 at 20:43:33 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 20:43:33 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 20:43:40 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 20:43:40 | INFO | Найдено 6 записей.
2024-12-20 at 20:43:47 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 20:43:47 | INFO | Найдено 0 записей.
2024-12-20 at 20:43:52 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 20:43:52 | INFO | Найдено 0 записей.
2024-12-20 at 20:44:00 | INFO | Поиск всех записей Product по фильтрам: {}
2024-12-20 at 20:44:00 | INFO | Найдено 0 записей.
2024-12-20 at 20:44:04 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 20:44:04 | INFO | Запись найдена по фильтрам: {'telegram_id': 5127841744}
2024-12-20 at 20:44:12 | INFO | Подсчет количества записей Product по фильтру: {}
2024-12-20 at 20:44:12 | INFO | Найдено 0 записей.
2024-12-20 at 20:45:38 | INFO | Поиск всех записей Category по фильтрам: {}
2024-12-20 at 20:45:38 | INFO | Найдено 6 записей.
2024-12-20 at 20:47:07 | INFO | Поиск Category с ID: 2
2024-12-20 at 20:47:07 | INFO | Запись с ID 2 найдена.
2024-12-20 at 20:47:12 | INFO | Добавление записи Product с параметрами: {'name': 'Методичка "Путеводитель по языкам и фреймворкам: как понять, что и на чем писать"', 'description': '<b>Практическое руководство по выбору инструментов для разработки веб, мобильных и десктопных приложений</b>', 'price': 760, 'category_id': 2, 'file_id': 'BQACAgIAAxkBAAIBLWdlrVhjes3xoUX7HLh_kpY1kbaiAAJRXAACTjqwSXTeFAIWfZYVNgQ', 'hidden_content': 'Старался максимально соответствовать названию и подзаголовку. Подготовлено для телеграмм канала @PythonPathMaster'}
2024-12-20 at 20:47:12 | INFO | Запись Product успешно добавлена.
